gaia,ra,dec,pmra,pmdec,parallax,parallax_error,G_mag,bp_rp,ra_error,dec_error,pmra_error,pmdec_error,vbroad,tess,pipecad,skew_5,M_mag,ds,eb,comments,HD,amax_fb_shift,fmax_fb_shift,integrated_power_HPF_fb_shift,num_freqs_snr_g10,centroid_power_above_5med_fb_shift,HADS,amax_noise,RUWE,phot_bp_rp_excess_factor,fmax_g30,amax_g30,SNR_fb_shift,fidelity_v2,zams_distance,zams_distance_vertical,iso_rho,iso_mass,iso_rad,log_g,iso_teff,Uyt_efficiency,Uyt_energy,g_by_sq_teff,eb_prsa,skew_lightcurve,pipeline,cadence,new_PSD
3211922645854328832,76.9620005509911,-5.086810304091459,-88.48137357389295,-70.49687410279232,36.24560427650994,0.35752305,2.7777147,0.43548036,0.22611426,0.17874546,0.25721523,0.26489565,,248409489,SPOC_120,11.470900277455168,0.5739914229197058,1.0,0.0,none,33111,667.0530540336769,13.091196319397104,0.169957125759479,44.0,9.114098698110109,0.0,3.877077242665619,1.8125546,1.1102761,32.41085986754899,9.221784587798366,554.4622584031672,1.0,0.9876868147520912,-2.4765459207619913,,,,,,,13.90445078064298,,0,0.0444005973911327,SPOC,120,0.1804241317136662
1487434040320076800,218.01881769228896,38.30892269460632,-114.34365542209363,151.78788107079836,37.91254655500852,0.25500512,3.022188,0.4798348,0.15104893,0.21196944,0.15855806,0.23662283,,67991192,SPOC_120,21.79175196762864,0.9161027830717908,1.0,0.0,none,127762,2103.9921460231767,13.594848125721766,0.5081484347946994,7.0,13.596123247518056,0.0,6.181611217685578,1.1377641,1.1986424,30.28601698277552,24.154785089348614,1054.869320847351,1.0,0.7393742005556035,-2.3216192706061247,0.0594306744559886,2.0331484403940614,3.1542392225534672,3.7483798320222776,7458.39704438437,7.449834189159706e-09,94.05740350712986,64.87196938695074,0,0.0129355111949742,SPOC,120,0.5201151496254192
4573412435280434560,258.7578570009893,24.83850638924531,-20.95395629310213,-156.76715982654696,42.48084539964649,0.22191322,3.130809,0.34447908,0.14197738,0.16289322,0.18938392,0.21047005,,257582738,SPOC_120,10.199882787386509,1.2717747546735794,1.0,0.0,none,156164,1486.440940222297,6.073146265582168,1.032634395789102,27.0,10.416588358826017,0.0,10.368802584354354,0.80747694,1.1653372,30.631189522946045,230.55578119001277,395.864158210453,1.0,0.4229906888562913,-1.4588899725123188,0.1373065537476331,1.9732364981555004,2.367977737618082,3.984423909673369,8109.476160341877,6.050213571400738e-09,114.54301623415284,107.13404655936104,0,0.0574622504960919,SPOC,120,1.0953614715099602
1575287046603605888,183.85734834773095,57.03265316489124,103.9467958413558,8.141463801370662,40.32790069695137,0.19453964,3.3111024,0.26148772,0.13253115,0.14167288,0.18097302,0.18026173,291.1414,224292240,SPOC_120,21.41495494471534,1.3391304751435325,1.0,0.0,none,106591,32.21937640487784,38.85855402026458,0.0001629498042569,2.0,43.28103201928454,0.0,1.27992198426959,0.91864717,1.1727464,38.85855402026458,32.21937640487784,84.19577008652308,1.0,0.3216502848856985,-1.1360450013146697,0.1863523488323627,1.9657843418767,2.133158318557825,4.073489693295086,8372.838915252856,5.592553065578639e-09,0.3129414731206543,129.43547605051717,0,0.0175219214922736,SPOC,120,0.000162336813141
3662636823132300032,203.67206658148984,-0.5956181019830046,-276.9029992866074,44.62071265610922,43.74674588145839,0.33300146,3.3738446,0.3116889,0.21004818,0.15407377,0.311967,0.16946067,,130726180,SPOC_120,9.48861242562888,1.5785733669874098,1.0,0.0,none,118098,873.2943885976367,10.297715931908348,0.1424985989297585,34.0,13.716417103812445,0.0,6.692124823897128,1.0243642,1.1812712,32.861794032624886,142.44474151571328,394.01976386425497,1.0,0.321428318369875,-1.0495022828984686,0.2144101567640799,1.7486614880589892,1.9661559651822296,4.093469814903723,7693.958927520701,6.601448070452547e-09,28.580646766847437,141.38224812253873,0,0.0070465994527717,SPOC,120,0.1705686181889705
3312744219988782720,67.16608051054888,15.870784455320392,106.14776250704207,-20.293824952737538,21.81251596251546,0.37348384,3.3779078,0.39932775,0.33305082,0.20273979,0.43378595,0.31364736,,245792896,SPOC_120,15.986295427701046,0.0714366106119417,1.0,0.0,none,28319,3375.000395571106,13.691837596122763,5.136977336964527,18.0,13.42498217938276,0.0,3.7607584445987734,2.919878,1.1653033,31.79319162331948,55.06041853755975,2543.6793413958344,1.0,1.4359850450669092,-2.843605698080817,0.028371848570387,2.4141200260717355,4.341838800844297,3.545411467912822,7429.070517883381,7.792675796604256e-09,926.5799748324348,40.73279650417533,0,0.0181045461327506,SPOC,120,5.250999570992062
2996171698248699904,86.73885705541909,-14.821953605720934,-14.203038489174675,-0.775630781844922,44.79397747617685,0.24658585,3.5410435,0.2437489,0.16130178,0.19318976,0.19754265,0.20561744,,317132886,SPOC_120,17.191303451965666,1.797141636432109,1.0,0.0,none,38678,500.3709681429537,19.449250787721784,0.0430319748072217,16.0,24.26080929497744,0.0,3.551991485183303,1.19903,1.1594574,66.58824601684263,156.18716564493994,482.29431643082216,1.0,0.2017416410596909,-0.6243130357015334,0.2801943236437907,1.8231496331260155,1.830936776547561,4.173475618217132,8257.788027185696,5.657274931729889e-09,23.504189649188653,164.0755062467376,0,-0.1812569806673732,SPOC,120,0.0549035019741806
939307084189685248,103.19723612430526,33.9610470125569,-1.705015450988899,-47.19328545489197,16.87007592104058,0.25981668,3.593621,0.25687075,0.26178944,0.29886952,0.20485523,0.22355466,144.43898,68491719,SPOC_120,24.133035480320267,-0.2707938146729898,1.0,0.0,none,50019,1358.266686588884,6.7583321328293104,0.6736627068780973,20.0,4.456658801909311,0.0,3.9414496551531446,1.0132805,1.172792,30.714072210746345,6.523205809081772,1236.327226214366,1.0,1.7342305970006224,-2.731979912718536,0.0260727480584174,2.5763236510229537,4.556806396102357,3.5316792659947005,7945.702441424285,6.829903516590805e-09,13.584226896078627,38.16041749158791,0,-0.0608891185005422,SPOC,120,0.6913007293711559
5236306071562633344,176.40065646582843,-66.72860365116325,-95.24185702660624,34.66264614708976,23.728944114455828,0.46791983,3.624794,0.30536938,0.35065162,0.3732102,0.5071135,0.4619659,52.430695,296688052,SPOC_120,40.391256893273734,0.5011860675157358,1.0,0.0,none,102249,1521.4656664531117,13.12436239805467,0.314999640496428,7.0,13.311352019396066,0.0,2.2573906842731177,1.1275338,1.1786115,32.280873587986804,12.875191356156735,2206.1860485279262,1.0,0.9992019905247924,-2.1074932124712404,0.0449962713464349,2.28700166214841,3.626628798550205,3.678260268443892,7890.710529176603,6.740200352779841e-09,56.07816751856317,53.666369024897215,0,0.0117426744514344,SPOC,120,0.3248637248986395
1195823284391343104,236.54720068018435,15.42160689242322,65.95762723653905,-47.79104173145251,21.59236669085102,0.3069895,3.6537793,0.19625878,0.21073397,0.31359282,0.2157303,0.2574777,,119885027,SPOC_120,5.241211374560451,0.3252805349331389,1.0,0.0,none,141003,892.7285999281763,2.514905466775746,0.2232316194792349,47.0,5.177514768857501,0.0,5.208000403142624,0.9011547,1.1446743,30.252217010756578,19.680968644326526,413.4693918892106,1.0,1.137556152693643,-1.9533056038381384,0.0599889526794356,2.3456451592165326,3.3050899988752955,3.769895734259549,8431.551117341845,5.807182653107847e-09,6.394347494051661,64.11239423081965,0,0.0609971385420234,SPOC,120,0.2342905531051237
